name,category,methods,status
high_lateral_acceleration,dynamics,rule,active
high_magnitude_jerk,dynamics,rule,active
high_magnitude_speed,dynamics,rule,active
low_magnitude_speed,dynamics,rule,active
medium_magnitude_speed,dynamics,rule,active
behind_bike,interaction,rule,experimental
behind_long_vehicle,interaction,rule,experimental
behind_pedestrian_on_driveable,interaction,rule,experimental
behind_pedestrian_on_pickup_dropoff,interaction,,unsupported
crossed_by_bike,interaction,rule,active
crossed_by_vehicle,interaction,rule,active
waiting_for_pedestrian_to_cross,interaction,rule,experimental
near_barrier_on_driveable,interaction,rule,experimental
near_construction_zone_sign,interaction,,unsupported
near_high_speed_vehicle,interaction,rule,active
near_long_vehicle,interaction,rule,active
near_multiple_bikes,interaction,rule,active
near_multiple_pedestrians,interaction,rule,active
near_multiple_vehicles,interaction,rule,active
near_pedestrian_at_pickup_dropoff,interaction,,unsupported
near_pedestrian_on_crosswalk,interaction,rule,active
near_pedestrian_on_crosswalk_with_ego,interaction,rule,active
near_trafficcone_on_driveable,interaction,,unsupported
on_all_way_stop_intersection,zone,,unsupported
on_carpark,zone,,unsupported
on_intersection,zone,vlm,experimental
on_pickup_dropoff,zone,,unsupported
on_stopline_crosswalk,zone,rule,active
on_stopline_stop_sign,zone,,unsupported
on_stopline_traffic_light,zone,vlm,experimental
on_traffic_light_intersection,zone,vlm,experimental
changing_lane,maneuver,rule,active
changing_lane_to_left,maneuver,rule,active
changing_lane_to_right,maneuver,rule,active
changing_lane_with_lead,maneuver,rule,experimental
changing_lane_with_trail,maneuver,rule,experimental
starting_high_speed_turn,maneuver,rule,active
starting_left_turn,maneuver,rule,active
starting_low_speed_turn,maneuver,rule,active
starting_protected_cross_turn,maneuver,,unsupported
starting_protected_noncross_turn,maneuver,,unsupported
starting_right_turn,maneuver,rule,active
starting_straight_stop_sign_intersection_traversal,maneuver,,unsupported
starting_straight_traffic_light_intersection_traversal,maneuver,vlm,experimental
starting_u_turn,maneuver,vlm,experimental
starting_unprotected_cross_turn,maneuver,,unsupported
starting_unprotected_noncross_turn,maneuver,,unsupported
traversing_crosswalk,maneuver,rule,active
traversing_intersection,maneuver,,unsupported
traversing_narrow_lane,maneuver,,unsupported
traversing_pickup_dropoff,maneuver,,unsupported
traversing_traffic_light_intersection,maneuver,vlm,experimental
accelerating_at_crosswalk,behavior,rule,active
accelerating_at_stop_sign,behavior,,unsupported
accelerating_at_stop_sign_no_crosswalk,behavior,,unsupported
accelerating_at_traffic_light,behavior,vlm,experimental
accelerating_at_traffic_light_with_lead,behavior,vlm,experimental
accelerating_at_traffic_light_without_lead,behavior,vlm,experimental
following_lane_with_lead,behavior,,unsupported
following_lane_with_slow_lead,behavior,rule,experimental
following_lane_without_lead,behavior,,unsupported
stationary,behavior,rule,active
stationary_at_crosswalk,behavior,rule,active
stationary_at_traffic_light_with_lead,behavior,vlm,experimental
stationary_at_traffic_light_without_lead,behavior,vlm,experimental
stationary_in_traffic,behavior,rule,experimental
stopping_at_crosswalk,behavior,rule,active
stopping_at_stop_sign_no_crosswalk,behavior,,unsupported
stopping_at_stop_sign_with_lead,behavior,,unsupported
stopping_at_stop_sign_without_lead,behavior,,unsupported
stopping_at_traffic_light_with_lead,behavior,vlm,experimental
stopping_at_traffic_light_without_lead,behavior,vlm,experimental
stopping_with_lead,behavior,rule,experimental
stopping_without_lead,behavior,rule,experimental
near_multiple_motorcycle,interaction,rule,active
crossed_by_motorcycle,interaction,rule,active
